iso3c,population,land_area_skm,pop_density,pop_largest_city,gdp_capita,life_expectancy,region,income
IMN,83598,570,146.663157894737,NA,90190.7520492508,NA,Europe & Central Asia,High income
IND,1352617328,2973190,454.938072575247,28513682,2100.80078047205,69.416,South Asia,Lower middle income
IRL,4867309,68890,70.452983016403,1201426,76880.8076965505,82.6073170731707,Europe & Central Asia,High income
IRN,80673951,1628760,49.5309014219406,8780950,6952.44358365352,76.271,Middle East & North Africa,Upper middle income
IRQ,38433600,434128.0078125,88.5305700354617,6811955,5477.69614815968,70.454,Middle East & North Africa,Upper middle income
ISL,352721,100250,3.52692269326683,NA,52103.1703035501,82.6609756097561,Europe & Central Asia,High income
ISR,8882800,21640,410.526802218115,4010977,34745.7666176869,82.8024390243903,Middle East & North Africa,High income
ITA,60421760,294140,205.450747943156,4209710,35431.8565490753,82.9463414634147,Europe & Central Asia,High income
JAM,2934855,10830,270.993074792244,589083,4855.26207081811,74.368,Latin America & Caribbean ,Upper middle income
JOR,9956011,88780,112.14249831043,2064582,3266.74698529318,74.405,Middle East & North Africa,Upper middle income
JPN,126529100,364560,347.073458415624,37468302,48919.798941967,84.2109756097561,East Asia & Pacific,High income
KAZ,18272430,2699700,6.76982590658221,1829005,11165.5443580599,73.15,Europe & Central Asia,Upper middle income
KEN,51393010,569140,90.2994166637383,4385853,1202.13302276731,66.342,Sub-Saharan Africa ,Lower middle income
KGZ,6322800,191800,32.9290928050052,996319,1087.20406151981,71.4,Europe & Central Asia,Lower middle income
KHM,16249798,176520,92.0564128710628,1952329,1205.04094079918,69.57,East Asia & Pacific,Lower middle income
KIR,115847,810,143.020987654321,NA,1762.30586135033,68.116,East Asia & Pacific,Lower middle income
KNA,52441,260,201.696153846154,NA,16942.6664176757,NA,Latin America & Caribbean ,High income
KOR,51606633,97489.00390625,529.652103632681,9963497,26761.9413808055,82.6268292682927,East Asia & Pacific,High income
KWT,4137309,17820,232.172222222222,2989270,33112.1304072421,75.398,Middle East & North Africa,High income
LAO,7061507,230800,30.5957842287695,664754,1785.57679801882,67.61,East Asia & Pacific,Lower middle income
LBN,6848925,10230,669.494134897361,2385271,6249.76665455924,78.875,Middle East & North Africa,Upper middle income
LBR,4818977,96320,50.0309073920266,1418300,541.271324140142,63.73,Sub-Saharan Africa ,Low income
LBY,6678567,1759540,3.79563238119054,1157746,7536.7543225873,72.724,Middle East & North Africa,Upper middle income
LCA,181889,610,298.17868852459,NA,8485.27171394218,76.057,Latin America & Caribbean ,Upper middle income
LIE,35994,160,224.9625,NA,141200.380010278,81.8414634146342,Europe & Central Asia,High income
LKA,21670000,62710,345.558922022006,599821,3936.45024606602,76.812,South Asia,Upper middle income
LSO,2108132,30360,69.437812911726,NA,1411.67649658701,53.705,Sub-Saharan Africa ,Lower middle income
LTU,2801543,62642.001953125,44.5313513780643,536055,17708.5280356416,76.290243902439,Europe & Central Asia,High income
LUX,607950,2430,250.093827160494,NA,110742.316043137,82.0951219512195,Europe & Central Asia,High income
LVA,1927174,62180,30.9833065294307,637089,16268.9532242356,74.6780487804878,Europe & Central Asia,High income
MAC,631636,30.3999996185303,20777.5002607232,632418,58641.6276638714,84.118,East Asia & Pacific,High income
MAR,36029138,446300,80.7285189334528,3683566,3361.22378892073,76.453,Middle East & North Africa,Lower middle income
MCO,38682,2,19196,NA,195879.63737503,NA,Europe & Central Asia,High income
MDA,2706049,32890,123.51980353224,509707,2668.65769239385,71.808,Europe & Central Asia,Lower middle income
MDG,26262368,581800,45.1398556204881,3058387,490.09731216025,66.681,Sub-Saharan Africa ,Low income
MDV,515696,300,1718.98666666667,NA,8033.32562707311,78.627,South Asia,Upper middle income
MEX,126190788,1943950,64.9146264050001,21580827,10403.540397147,74.992,Latin America & Caribbean ,Upper middle income
MHL,58413,180,324.516666666667,NA,3066.98104378652,NA,East Asia & Pacific,Upper middle income
MKD,2082958,25220,82.5915146708961,584208,5394.28847819909,75.688,Europe & Central Asia,Upper middle income
MLI,19077690,1220190,15.635015858186,2446749,777.860597486563,58.893,Sub-Saharan Africa ,Low income
MLT,484630,320,1511.03125,NA,28594.3001417741,82.3463414634146,Middle East & North Africa,High income
MMR,53708395,653080,82.2386154835549,5157461,1571.90721650413,66.867,East Asia & Pacific,Lower middle income
MNE,622227,13450,46.2710037174721,NA,8244.1275091604,76.77,Europe & Central Asia,Upper middle income
MNG,3170208,1553560,2.04060866654651,1520381,4210.04229303741,69.689,East Asia & Pacific,Lower middle income
MNP,56882,460,123.65652173913,NA,18577.7914891156,NA,East Asia & Pacific,High income
MOZ,29495962,786380,37.508535313716,1635392,591.439276354777,60.163,Sub-Saharan Africa ,Low income
MRT,4403319,1030700,4.27216357815077,1205414,1334.46041821367,64.704,Sub-Saharan Africa ,Lower middle income
MUS,1265303,2030,623.30197044335,NA,10578.617321172,74.4163414634146,Sub-Saharan Africa ,Upper middle income
MWI,18143315,94280,192.440761561307,1029639,516.754055180455,63.798,Sub-Saharan Africa ,Low income
MYS,31528585,328550,95.9628214883579,7563912,12120.0832647974,75.997,East Asia & Pacific,Upper middle income
NAM,2448255,823290,2.97374558175127,404280,6044.52843251455,63.373,Sub-Saharan Africa ,Upper middle income
NER,22442948,1266700,17.7176505881424,1213781,403.485286590113,62.024,Sub-Saharan Africa ,Low income
NGA,195874740,910770,215.064988965381,13463421,2396.31091419546,54.332,Sub-Saharan Africa ,Lower middle income
NIC,6465513,120340,53.7270483629716,1047923,1860.43853312621,74.275,Latin America & Caribbean ,Lower middle income
NLD,17231624,33690,511.457910359157,1131690,55022.918199869,81.7609756097561,Europe & Central Asia,High income
NOR,5311916,365123.0078125,14.5549195374975,1012225,92077.574309644,82.8121951219512,Europe & Central Asia,High income
NPL,28087871,143350,195.939107080572,1329732,817.446886047779,70.478,South Asia,Low income
NRU,12704,20,635.2,NA,10910.098281157,NA,East Asia & Pacific,Upper middle income
NZL,4841000,263310,18.5541756864532,1556875,37997.3539814059,81.8585365853659,East Asia & Pacific,High income
OMN,4829483,309500,15.6041453957997,1446563,15796.7730860886,77.633,Middle East & North Africa,High income
PAK,212215030,770880,275.289318700706,15400223,1197.84274427141,67.114,South Asia,Lower middle income
PAN,4176873,74340,56.1860774818402,1783490,11723.9305639817,78.329,Latin America & Caribbean ,High income
PER,31989256,1280000,24.99160625,10390607,6453.56052508568,76.516,Latin America & Caribbean ,Upper middle income
PHL,106651922,298170,357.688305329175,13482468,3021.98686253681,71.095,East Asia & Pacific,Lower middle income
PLW,17907,460,38.9282608695652,NA,12260.2233356517,NA,East Asia & Pacific,High income
PNG,8606316,452860,19.0043633794109,366862,2416.93307958171,64.263,East Asia & Pacific,Lower middle income
POL,37974750,306190,124.035886214442,1767798,16659.3321065175,77.7536585365854,Europe & Central Asia,High income
PRI,3195153,8870,360.220180383315,2454337,27340.6541656856,79.7781951219512,Latin America & Caribbean ,High income
PRT,10283822,91605.595703125,112.23945350807,2927316,23994.6624298675,81.7243902439025,Europe & Central Asia,High income
PRY,6956071,397300,17.5083589227284,3222199,5396.48081204328,74.131,Latin America & Caribbean ,Upper middle income
PSE,4569087,6020,758.984551495017,673638,2680.31812267179,73.895,Middle East & North Africa,Lower middle income
QAT,2781677,11610,239.593195521103,693373,63260.5584959583,80.1,Middle East & North Africa,High income
ROU,19466145,230080,84.6398470097357,1821380,11532.0634852715,75.409756097561,Europe & Central Asia,Upper middle income
RUS,144478050,16376870,8.82207955488442,12409738,11729.0891004034,72.6573170731707,Europe & Central Asia,Upper middle income
RWA,12301939,24670,498.659870287799,1057836,824.518848408768,68.7,Sub-Saharan Africa ,Low income
SAU,33699947,2149690,15.6766543082956,6906595,20819.7445742964,74.998,Middle East & North Africa,High income
SDN,41801533,NA,NA,5534079,1855.62629215613,65.095,Sub-Saharan Africa ,Lower middle income
SEN,15854360,192530,82.3474783150678,2978419,1546.52015893317,67.665,Sub-Saharan Africa ,Lower middle income
SGP,5638676,709.000015258789,7952.9984184018,5791901,58247.8726396071,83.1463414634146,East Asia & Pacific,High income
SLB,652858,27990,23.324687388353,NA,1482.60671759695,72.835,East Asia & Pacific,Lower middle income
SLE,7650154,72180,105.987170961485,1135949,472.825438057198,54.309,Sub-Saharan Africa ,Low income
SLV,6420744,20720,309.881467181467,1106698,3511.45378240851,73.096,Latin America & Caribbean ,Lower middle income
SMR,33671,60,561.183333333333,NA,53337.5878675864,85.4170731707317,Europe & Central Asia,High income
SRB,6982604,87460,79.8317402241024,1389351,6886.50034784975,75.5390243902439,Europe & Central Asia,Upper middle income
SSD,10715658,NA,NA,321091,730.932042049014,56.855,Sub-Saharan Africa ,Low income
STP,211028,960,219.820833333333,NA,1297.35857228489,70.17,Sub-Saharan Africa ,Lower middle income
SUR,575991,156000,3.69225,NA,8040.94011128172,71.57,Latin America & Caribbean ,Upper middle income
SVK,5446771,48080,113.290578202995,429920,20599.1468427086,77.1658536585366,Europe & Central Asia,High income
SVN,2073894,20141.9995117188,102.639859503382,NA,26768.3926429479,81.0292682926829,Europe & Central Asia,High income
SWE,10175214,407310,25.0010434312931,1582968,57921.3792813456,82.5121951219512,Europe & Central Asia,High income
SWZ,1136191,17200,66.0576162790698,NA,4773.9173821739,59.401,Sub-Saharan Africa ,Lower middle income
SYC,96762,460,210.352173913043,NA,14385.3018089603,72.8414634146341,Sub-Saharan Africa ,High income
TCA,32660,950,34.3789473684211,NA,21028.4081445193,NA,Latin America & Caribbean ,High income
TCD,15477751,1259200,12.2917336404066,1322679,813.342478774863,53.977,Sub-Saharan Africa ,Low income
TGO,7889094,54390,145.046773303916,1745744,676.173403625576,60.76,Sub-Saharan Africa ,Low income
THA,69428524,510890,135.897206835131,10156316,6361.62499026563,76.931,East Asia & Pacific,Upper middle income
TJK,9100837,138790,65.5727141724908,872653,1073.02183482136,70.879,Europe & Central Asia,Low income
TKM,5850908,469930,12.4505947694337,810186,7647.93580378613,68.073,Europe & Central Asia,Upper middle income
TLS,1267972,14870,85.270477471419,NA,2759.52650321924,69.26,East Asia & Pacific,Lower middle income
TON,103197,720,143.329166666667,NA,4054.94072244493,70.801,East Asia & Pacific,Upper middle income
TTO,1389858,5130,270.927485380117,544417,15161.0684555798,73.38,Latin America & Caribbean ,High income
TUN,11565204,155360,74.4413233779609,2290777,4401.05718965754,76.505,Middle East & North Africa,Lower middle income
TUR,82319724,769630,106.960128893104,14750771,15068.982383455,77.437,Europe & Central Asia,Upper middle income
TUV,11508,30,383.6,NA,3636.05500647562,NA,East Asia & Pacific,Upper middle income
TZA,56318348,885800,63.5790787988259,6047600,959.354688726875,65.015,Sub-Saharan Africa ,Low income
UGA,42723139,200520,213.061734490325,2986352,710.081948117871,62.973,Sub-Saharan Africa ,Low income
UKR,44622516,579290,77.0296673514129,2956706,3110.19464582486,71.5826829268293,Europe & Central Asia,Lower middle income
URY,3449299,175020,19.7080276539824,1736989,14617.464002064,77.77,Latin America & Caribbean ,High income
USA,326687501,9147420,35.766088580168,18819361,54579.0168374446,78.5390243902439,North America,High income
UZB,32955400,425400,77.4692054536906,2463969,2366.28520017032,71.573,Europe & Central Asia,Lower middle income
VCT,110210,390,282.589743589744,NA,6852.60660188886,72.415,Latin America & Caribbean ,Upper middle income
VEN,30045134,882050,34.0628467773936,2915185,14025.3575647702,72.762,Latin America & Caribbean ,Upper middle income
VIR,107268,350,306.48,NA,29290.7849834333,79.419512195122,Latin America & Caribbean ,High income
VNM,95540395,310070,308.125245912213,8145361,1964.4759908863,75.317,East Asia & Pacific,Lower middle income
VUT,292680,12190,24.0098441345365,NA,2875.43040562306,70.323,East Asia & Pacific,Lower middle income
WSM,196130,2830,69.3038869257951,NA,3748.84406858747,73.187,East Asia & Pacific,Upper middle income
XKX,1845300,10887,168.154679893451,NA,4161.32385261663,72.1951219512195,Europe & Central Asia,Upper middle income
YEM,28498687,527970,53.9778529083092,2779317,667.945436909641,66.096,Middle East & North Africa,Low income
ZAF,57779622,1213090,47.6301197767684,5485986,7433.61539826952,63.857,Sub-Saharan Africa ,Upper middle income
ZMB,17351822,743390,23.3414789007116,2523844,1672.34542786224,63.51,Sub-Saharan Africa ,Lower middle income
ZWE,14439018,386850,37.3245909267158,1515016,1322.3440634317,61.195,Sub-Saharan Africa ,Lower middle income
